City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Zhigalovo,RU,54.8097,105.1578,49.68,89,98,3.11,overcast clouds
235,Florianopolis,BR,-27.6146,-48.5012,68.63,77,68,1.01,broken clouds
236,Tanout,NE,14.9709,8.8879,84.69,51,100,12.86,overcast clouds
237,Barcarena,BR,-1.5058,-48.6258,91.27,39,26,3.02,scattered clouds
238,Kieta,PG,-6.2167,155.6333,77.18,83,53,1.92,broken clouds
239,Walvis Bay,NA,-22.9575,14.5053,69.84,36,0,4.18,clear sky
240,Shumskiy,RU,54.8318,99.1328,49.69,87,90,2.37,overcast clouds
241,Emba,KZ,48.8264,58.1442,70.45,26,0,11.54,clear sky
242,Asfi,MA,32.2994,-9.2372,76.77,71,4,21.0,clear sky
243,Vardo,NO,70.3705,31.1107,58.55,82,98,15.32,overcast clouds
244,Werda,BW,-25.2667,23.2833,67.5,23,0,4.05,clear sky
245,Kenora,CA,49.8167,-94.4337,77.77,69,63,4.0,broken clouds
246,San Andres,CO,12.5847,-81.7006,81.52,76,100,6.15,overcast clouds
247,Nanortalik,GL,60.1432,-45.2371,43.25,78,65,8.39,broken clouds
248,Port Hawkesbury,CA,45.6169,-61.3485,77.92,78,30,10.0,scattered clouds
249,Rangapara,IN,26.8167,92.65,83.71,78,46,0.98,scattered clouds
250,Adrar,MR,20.5022,-10.0711,103.39,17,8,2.82,clear sky
251,Vaxjo,SE,56.8777,14.8091,66.58,51,100,2.82,overcast clouds
252,Nanjing,CN,32.0617,118.7778,88.57,55,100,4.25,overcast clouds
253,Oeiras,BR,-7.0253,-42.1311,94.64,23,99,8.61,overcast clouds
254,Mogadishu,SO,2.0371,45.3438,76.28,85,70,16.96,broken clouds
255,Makakilo City,US,21.3469,-158.0858,75.69,75,0,11.01,clear sky
256,Deputatskiy,RU,69.3,139.9,47.97,97,100,4.38,light rain
257,Los Llanos De Aridane,ES,28.6585,-17.9182,76.91,60,8,11.54,clear sky
258,Hope,US,33.6671,-93.5916,75.07,99,100,5.32,light rain
259,Voh,NC,-20.9667,164.7,68.88,92,95,5.5,overcast clouds
260,Gonbad-E Qabus,IR,37.25,55.1672,84.65,30,0,9.15,clear sky
261,Inhambane,MZ,-23.865,35.3833,65.86,60,0,9.86,clear sky
262,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.39,22,13,8.32,few clouds
263,Cuauhtemoc,MX,28.4167,-106.8667,68.92,63,22,1.32,few clouds
264,Kyshtovka,RU,56.555,76.6271,51.24,77,100,5.61,overcast clouds
265,Provideniya,RU,64.3833,-173.3,46.74,72,0,0.38,clear sky
266,Nuuk,GL,64.1835,-51.7216,45.88,65,94,11.99,overcast clouds
267,Te Anau,NZ,-45.4167,167.7167,40.05,92,98,4.7,overcast clouds
268,Puerto Escondido,MX,15.85,-97.0667,86.22,64,39,4.05,scattered clouds
269,Minot,US,48.2325,-101.2963,85.24,31,56,9.06,broken clouds
270,Kedrovyy,RU,56.1667,91.8167,41.38,87,45,1.77,scattered clouds
271,Barcelona,ES,41.3888,2.159,86.72,73,19,5.01,few clouds
272,Sterling,US,39.0062,-77.4286,84.78,72,4,5.99,clear sky
273,Kantilo,IN,20.35,85.1833,83.28,74,100,1.05,overcast clouds
274,Comodoro Rivadavia,AR,-45.8667,-67.5,56.5,48,100,14.58,overcast clouds
275,Zhangye,CN,38.9342,100.4517,67.14,56,100,3.47,moderate rain
276,Meshchovsk,RU,54.3244,35.2808,70.68,64,100,8.81,overcast clouds
277,Necochea,AR,-38.5473,-58.7368,55.87,58,14,9.8,few clouds
278,Cruz,BR,-2.9178,-40.1717,90.86,43,56,15.1,broken clouds
279,Sao Filipe,CV,14.8961,-24.4956,79.7,81,100,6.76,light rain
280,Tucurui,BR,-3.7661,-49.6725,95.77,23,58,5.61,broken clouds
281,Caconda,AO,-13.7333,15.0667,81.16,10,21,4.29,few clouds
282,Coihaique,CL,-45.5752,-72.0662,47.86,94,100,8.12,light rain
283,Axim,GH,4.8699,-2.2405,77.77,79,91,11.68,overcast clouds
284,Garowe,SO,8.4054,48.4845,89.24,30,97,20.69,overcast clouds
285,Saskylakh,RU,71.9167,114.0833,45.09,73,100,6.49,overcast clouds
286,Paka,MY,4.6374,103.4368,78.82,87,61,5.84,broken clouds
287,Vezirkopru,TR,41.1436,35.4547,81.55,55,35,9.37,scattered clouds
288,Kashmor,PK,28.4333,69.5833,90.0,60,44,4.25,scattered clouds
289,General Cepeda,MX,25.3833,-101.45,77.77,52,91,1.95,overcast clouds
290,Kenai,US,60.5544,-151.2583,56.14,94,100,10.69,moderate rain
291,Bandarbeyla,SO,9.4942,50.8122,76.26,81,8,31.94,clear sky
292,Palmas De Monte Alto,BR,-14.2672,-43.1619,83.8,28,32,11.25,scattered clouds
293,Denpasar,ID,-8.65,115.2167,77.72,83,87,11.97,overcast clouds
294,Sal Rei,CV,16.1833,-22.9167,80.67,83,100,11.86,overcast clouds
295,Nantucket,US,41.2835,-70.0995,72.0,95,100,9.73,overcast clouds
296,Pangody,RU,65.85,74.4859,60.13,88,100,8.43,overcast clouds
297,Christchurch,NZ,-43.5333,172.6333,48.9,83,39,1.99,scattered clouds
298,Loa Janan,ID,-0.583,117.095,73.99,97,97,2.91,overcast clouds
299,Encheng,CN,22.1839,112.3026,79.18,91,60,3.96,broken clouds
300,Ngara,TZ,-2.5122,30.6558,71.35,40,86,4.72,overcast clouds
301,Hovd,MN,48.0056,91.6419,56.71,40,100,7.61,overcast clouds
302,Tiarei,PF,-17.5333,-149.3333,76.62,77,100,16.93,light rain
303,Riyadh,SA,24.6877,46.7219,103.21,9,15,11.25,few clouds
304,Tura,IN,25.5198,90.2201,79.41,79,97,1.48,overcast clouds
305,Dickson,US,36.077,-87.3878,81.95,76,100,1.01,overcast clouds
306,Codrington,AU,-38.2667,141.9667,45.27,68,81,18.43,broken clouds
307,Nanakuli,US,21.3906,-158.1547,77.11,69,0,9.73,clear sky
308,Itarema,BR,-2.9248,-39.9167,87.87,49,64,17.76,broken clouds
309,Tongchuan,CN,35.0806,109.0897,77.43,65,64,7.94,broken clouds
310,Khatanga,RU,71.9667,102.5,47.55,69,100,10.31,overcast clouds
311,Along,IN,28.1667,94.7667,78.17,96,24,0.69,few clouds
312,Muros,ES,42.7762,-9.0603,84.69,65,46,15.12,scattered clouds
313,Hobyo,SO,5.3505,48.5268,76.6,80,42,24.52,scattered clouds
314,Port Hardy,CA,50.6996,-127.4199,61.16,91,87,1.83,overcast clouds
315,Wuwei,CN,37.9281,102.6414,73.76,55,100,6.76,overcast clouds
316,Cap Malheureux,MU,-19.9842,57.6142,71.47,72,32,5.01,scattered clouds
317,Lata,PT,40.1629,-8.3327,84.49,48,1,12.24,clear sky
318,Nargana,PA,9.4428,-78.5906,81.46,76,92,1.95,overcast clouds
319,Kahului,US,20.8947,-156.47,76.84,85,3,3.0,clear sky
320,Palana,RU,59.1167,159.9667,50.34,96,100,8.21,moderate rain
321,Chenghai,CN,23.4632,116.768,86.23,71,6,2.19,clear sky
322,Sandpoint,US,48.2766,-116.5533,75.72,62,100,1.99,overcast clouds
323,Nabire,ID,-3.3667,135.4833,75.76,90,78,3.11,broken clouds
324,Nalut,LY,30.3333,10.85,95.0,15,0,7.72,clear sky
325,New Norfolk,AU,-42.7826,147.0587,38.71,79,44,1.01,scattered clouds
326,Asau,RO,46.4333,26.4,69.28,82,100,7.58,light rain
327,Nueva Loja,EC,0.0847,-76.8828,74.7,69,85,2.86,overcast clouds
328,Binzhou,CN,37.3667,118.0167,69.37,79,74,8.34,broken clouds
329,San Quintin,MX,30.4833,-115.95,71.28,80,66,11.54,broken clouds
330,Juneau,US,58.3019,-134.4197,66.11,98,99,3.4,overcast clouds
331,Mikun,RU,62.3547,50.0771,66.79,60,80,4.45,broken clouds
332,Yabelo,ET,4.8833,38.0833,68.14,40,44,13.96,scattered clouds
333,Bhinmal,IN,25.0,72.25,81.54,78,100,10.78,overcast clouds
334,Shache,CN,38.4167,77.2406,74.71,56,100,25.34,overcast clouds
335,Ilulissat,GL,69.2167,-51.1,38.64,87,100,7.85,moderate rain
336,Qandala,SO,11.472,49.8728,89.4,57,37,2.37,scattered clouds
337,Loncoche,CL,-39.3667,-72.6333,57.85,64,75,1.52,broken clouds
338,Huaicheng,CN,23.9051,112.1931,79.72,82,97,0.31,overcast clouds
339,Grootfontein,NA,-19.5667,18.1167,73.8,8,5,5.68,clear sky
