City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Toms River,US,81.03,overcast clouds,39.9537,-74.1979,Howard Johnson by Wyndham Toms River
549,Shingu,JP,77.86,overcast clouds,33.7333,135.9833,Shingu UI Hotel
551,Vizianagaram,IN,82.9,overcast clouds,18.1167,83.4167,Anupriya Residency
552,Biu,NG,76.73,light rain,10.6129,12.1946,Emir's Palace
554,Kurud,IN,74.98,light rain,20.8322,81.7214,HOTEL DEWANGAN
555,Nishihara,JP,83.68,clear sky,26.1842,127.7558,Minshuku Agaihama
559,Divo,CI,78.1,light rain,5.8397,-5.36,Hôtel IROKO
560,Pemba,MZ,75.31,broken clouds,-12.974,40.5178,Guesthouse Samotina
566,Atyrau,KZ,84.79,clear sky,47.1167,51.8833,River Palace Hotel
567,Surin,TH,78.3,overcast clouds,14.8818,103.4936,One Fu Hotel
568,Katobu,ID,71.55,scattered clouds,-4.9408,122.5276,La Ode Husein
572,Mahon,ES,80.22,scattered clouds,39.8885,4.2658,ARTIEM Capri
573,Savannah Bight,HN,82.99,broken clouds,16.45,-85.85,Villa on Dunbar Rock
576,Tucuman,AR,71.49,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
577,Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
579,Portland,US,74.91,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
582,Bela,IN,82.26,broken clouds,25.9333,81.9833,Raj Bhawan
584,Alim,PH,80.56,overcast clouds,9.5649,122.4876,Eden Island Resort and Spa
590,Saint-Francois,FR,73.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
591,Ormara,PK,81.39,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
592,Padang,ID,77.88,moderate rain,-0.9492,100.3543,Mercure Padang
593,Jishou,CN,82.54,overcast clouds,28.3167,109.7167,7 Days Inn
